title,category,views,likes,comments,duration,subscribers
"10 Amazing Science Facts",Education,1250000,45000,3200,420,500000
"Epic Gaming Montage 2024",Gaming,890000,52000,4100,720,750000
"How to Cook Perfect Pasta",Food,650000,28000,1800,480,320000
"Top 10 Travel Destinations",Travel,2100000,78000,5600,900,1200000
"Funny Cat Compilation",Entertainment,3500000,125000,8900,360,2500000
"Morning Yoga Routine",Health,420000,18000,1100,1200,280000
"Tech Review: Latest Smartphone",Technology,980000,41000,3400,840,650000
"DIY Home Renovation Tips",Lifestyle,550000,22000,1500,660,380000
"Guitar Tutorial for Beginners",Music,720000,35000,2800,1800,420000
"Documentary: Ocean Life",Education,1850000,62000,4200,2700,890000
"Fortnite Battle Royale Wins",Gaming,1200000,58000,4800,540,820000
"5-Minute Breakfast Recipes",Food,890000,42000,2600,300,450000
"Budget Travel Guide to Europe",Travel,1450000,54000,3900,1080,980000
"Stand-up Comedy Special",Entertainment,2800000,98000,7200,3600,1800000
"HIIT Workout Challenge",Health,680000,31000,2100,900,520000
"MacBook vs PC Comparison",Technology,1100000,48000,3800,720,710000
"Interior Design Ideas 2024",Lifestyle,620000,26000,1700,780,410000
"Piano Cover: Popular Songs",Music,940000,44000,3100,240,580000
"Quick Science Experiments",Education,580000,25000,1900,360,340000
"Minecraft Survival Series Ep1",Gaming,1500000,72000,6200,1200,950000
"Healthy Meal Prep Sunday",Food,750000,36000,2400,960,490000
"Solo Female Travel Vlog",Travel,890000,38000,2800,840,560000
"Movie Review: Latest Blockbuster",Entertainment,1250000,55000,4500,1080,780000
"Meditation for Beginners",Health,520000,24000,1600,1800,380000
"iPhone Tips and Tricks",Technology,1350000,59000,4100,480,820000
"Minimalist Living Tour",Lifestyle,680000,29000,2000,720,450000
"Electronic Music Production",Music,420000,19000,1400,2400,310000
"Math Made Easy: Algebra",Education,390000,16000,1200,900,280000
"Call of Duty Gameplay",Gaming,980000,46000,3600,660,680000
"Vegan Dessert Recipes",Food,580000,27000,1900,540,380000
"Backpacking Asia Tips",Travel,720000,32000,2400,1320,490000
"Late Night Talk Show Clips",Entertainment,1900000,78000,5800,420,1400000
"Full Body Strength Training",Health,590000,28000,1800,1500,410000
"Android vs iOS 2024",Technology,1450000,62000,4700,900,890000
"Tiny House Tour",Lifestyle,820000,37000,2600,600,520000
"Jazz Piano Improvisation",Music,280000,13000,900,1620,220000
"Physics Explained Simply",Education,680000,30000,2100,1080,420000
"Apex Legends Best Moments",Gaming,850000,40000,3200,480,590000
"Baking Bread from Scratch",Food,620000,29000,2000,1440,410000
"Road Trip USA West Coast",Travel,1100000,48000,3400,1800,720000
"Comedy Sketches Compilation",Entertainment,2200000,89000,6700,720,1600000
"Pilates Core Workout",Health,450000,21000,1500,840,340000
"Best Budget Laptops 2024",Technology,920000,42000,3300,960,630000
"Sustainable Fashion Haul",Lifestyle,540000,24000,1800,540,380000
"Drum Solo Performance",Music,380000,17000,1100,420,270000
"Chemistry Lab Experiments",Education,490000,22000,1600,1200,320000
"Valorant Pro Strategies",Gaming,760000,36000,2900,900,540000
"Italian Cuisine Masterclass",Food,890000,41000,2800,2100,580000
"Camping Gear Review",Travel,650000,30000,2200,720,450000
"Magic Tricks Revealed",Entertainment,1600000,68000,5100,660,1100000